Serial #,Host Name,Purchase date,Cost,Purchase From,Manufacturer,Model,Status,Date Added,Building,Room,Category,Name,User,Department,Warranty Info,Warranty Expiration Date (Dell),Warranty Expiration Date (Apple/Microsoft),Warranty Expiration Date,Last Audited Date,Last Audited By,Time Since Last Audit,MAC Address,Wireless MAC Address,Student Machine,Peripherals attached,Dell Kace,Bomgar,Replacement Date,Date Requested,Expected Return Date,Notes,Upgrade Date,System Upgrades,SCCM ID,Images,Archived
9ybvsy1,LB-Spare-L002,,,,Dell,,Spare,,Gorgas,Attic,Dell Laptop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
5v6wgv1,,,,,Dell,,Spare,,Gorgas,Attic,Dell Laptop (XPS) ,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
jp84lv1,LB-401-001,,,,Dell,,Spare,,Gorgas,Attic,Dell Laptop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
9zbvsy1,,,,,Dell,,Spare,,Gorgas,Attic,Dell Laptop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
f30vw1,,,,,Dell,,Spare,,Gorgas,Attic,Dell Laptop (XPS) ,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
js0nq22,,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
3x7c9y1,LB-400D-015,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
10yc9y1,,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
8n0l282,LB-208A-005,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
8n14282,LB-208A-007,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
8n0j282,LB-208A-003,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
8n0k282,LB-208A-004,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
6wbn382,LB-208A-002,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
8n1f282,LB-2008A-008,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
8n0g282,LB-208A-001,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
8n13282,LB-208A-006,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
3x6c9y1,LB-400D-002,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
10cb9y1,,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
cgb3gk2,LB-Spare-028,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
3x6d9y1,LB-10SB-001,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
10gb9y1,,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
10gb9y1,,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
bcjr8y1,LB-Spare-028,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
7lt6qw1,,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
hknfw52,,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
hknhw52,,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
gj11mn2,,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
5hq0ckx1,,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
234p842,,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
c07g90mmdkdj,,,,,Mac,,Spare,,Gorgas,Attic,Mac Mini,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
7w92v52,LB-Spare-038,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
8x60q22,,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
8n1g282,LB-208A-009,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
5hpcdx1,,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
hgbn9y1,,,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
